,Season,Game,HR,Team,TOI(min)
295,2012,20148,Road,TOR,46.61666666666667
296,2012,20149,Home,STL,51.41666666666667
297,2012,20149,Road,DET,51.41666666666667
298,2012,20150,Home,NSH,51.75
299,2012,20150,Road,LAK,51.75
300,2012,20151,Home,MIN,39.85
301,2012,20151,Road,VAN,39.85
302,2012,20152,Home,PHX,43.50000000000001
303,2012,20152,Road,CHI,43.50000000000001
304,2012,20153,Home,DAL,44.10000000000001
305,2012,20153,Road,ANA,44.10000000000001
306,2012,20154,Home,BOS,52.30000000000001
307,2012,20154,Road,TBL,52.30000000000001
308,2012,20155,Home,NJD,33.56666666666666
309,2012,20155,Road,PIT,33.56666666666666
310,2012,20156,Home,PHI,47.95000000000001
311,2012,20156,Road,CAR,47.95000000000001
312,2012,20157,Home,OTT,51.88333333333333
313,2012,20157,Road,WPG,51.88333333333333
314,2012,20158,Home,DET,40.15
315,2012,20158,Road,EDM,40.15
316,2012,20159,Home,SJS,49.86666666666667
317,2012,20159,Road,PHX,49.86666666666667
318,2012,20160,Home,MTL,40.15
319,2012,20160,Road,TOR,40.15
320,2012,20161,Home,NYI,51.283333333333346
321,2012,20161,Road,BUF,51.283333333333346
322,2012,20162,Home,WSH,51.833333333333336
323,2012,20162,Road,FLA,51.833333333333336
324,2012,20163,Home,STL,42.550000000000004
325,2012,20163,Road,ANA,42.550000000000004
326,2012,20164,Home,MIN,0.016666666666666666
327,2012,20164,Road,NSH,0.016666666666666666
328,2012,20165,Home,VAN,48.80000000000001
329,2012,20165,Road,CGY,48.80000000000001
330,2012,20166,Home,DET,48.583333333333336
331,2012,20166,Road,LAK,48.583333333333336
332,2012,20167,Home,CBJ,38.35
333,2012,20167,Road,EDM,38.35
334,2012,20168,Home,BUF,48.38333333333334
335,2012,20168,Road,BOS,48.38333333333334
336,2012,20169,Home,NYR,51.41666666666667
337,2012,20169,Road,TBL,51.41666666666667
338,2012,20170,Home,PIT,53.650000000000006
339,2012,20170,Road,NJD,53.650000000000006
340,2012,20171,Home,NSH,40.60000000000001
341,2012,20171,Road,CHI,40.60000000000001
342,2012,20172,Home,TOR,44.18333333333334
343,2012,20172,Road,PHI,44.18333333333334
344,2012,20173,Home,NYI,48.0
345,2012,20173,Road,CAR,48.0
346,2012,20174,Home,CBJ,49.266666666666666
347,2012,20174,Road,SJS,49.266666666666666
348,2012,20175,Home,STL,45.1
349,2012,20175,Road,LAK,45.1
350,2012,20176,Home,COL,43.93333333333334
351,2012,20176,Road,PHX,43.93333333333334
352,2012,20177,Home,CGY,49.35
353,2012,20177,Road,MIN,49.35
354,2012,20178,Home,NJD,45.1
355,2012,20178,Road,CAR,45.1
356,2012,20179,Home,BOS,46.71666666666667
357,2012,20179,Road,NYR,46.71666666666667
358,2012,20180,Home,OTT,38.61666666666667
359,2012,20180,Road,BUF,38.61666666666667
360,2012,20181,Home,TBL,41.30000000000001
361,2012,20181,Road,MTL,41.30000000000001
362,2012,20182,Home,FLA,48.583333333333336
363,2012,20182,Road,WSH,48.583333333333336
364,2012,20183,Home,WPG,46.85000000000001
365,2012,20183,Road,PHI,46.85000000000001
366,2012,20184,Home,NSH,46.61666666666667
367,2012,20184,Road,SJS,46.61666666666667
368,2012,20185,Home,CHI,46.933333333333344
369,2012,20185,Road,ANA,46.933333333333344
370,2012,20186,Home,EDM,43.33333333333334
371,2012,20186,Road,DAL,43.33333333333334
372,2012,20187,Home,VAN,44.333333333333336
373,2012,20187,Road,MIN,44.333333333333336
374,2012,20188,Home,PIT,46.650000000000006
375,2012,20188,Road,OTT,46.650000000000006
376,2012,20189,Home,DET,45.85
377,2012,20189,Road,STL,45.85
378,2012,20190,Home,CGY,50.11666666666667
379,2012,20190,Road,DAL,50.11666666666667
380,2012,20191,Home,NYR,52.583333333333336
381,2012,20191,Road,NYI,52.583333333333336
382,2012,20192,Home,CAR,51.866666666666674
383,2012,20192,Road,TOR,51.866666666666674
384,2012,20193,Home,TBL,55.06666666666667
385,2012,20193,Road,WSH,55.06666666666667
386,2012,20194,Home,FLA,51.03333333333333
387,2012,20194,Road,MTL,51.03333333333333
388,2012,20195,Home,NSH,51.06666666666667
389,2012,20195,Road,PHX,51.06666666666667
390,2012,20196,Home,MIN,57.03333333333334
391,2012,20196,Road,COL,57.03333333333334
392,2012,20197,Home,BUF,51.233333333333334
393,2012,20197,Road,BOS,51.233333333333334
394,2012,20198,Home,NJD,56.716666666666676
395,2012,20198,Road,PHI,56.716666666666676
396,2012,20199,Home,WPG,51.41666666666667
397,2012,20199,Road,PIT,51.41666666666667
398,2012,20200,Home,DET,47.46666666666667
399,2012,20200,Road,ANA,47.46666666666667
400,2012,20201,Home,CHI,45.48333333333334
401,2012,20201,Road,SJS,45.48333333333334
402,2012,20202,Home,CGY,49.300000000000004
403,2012,20202,Road,STL,49.300000000000004
404,2012,20203,Home,VAN,46.76666666666668
405,2012,20203,Road,DAL,46.76666666666668
406,2012,20204,Home,LAK,42.66666666666667
407,2012,20204,Road,CBJ,42.66666666666667
408,2012,20205,Home,TOR,48.68333333333334
409,2012,20205,Road,OTT,48.68333333333334
410,2012,20206,Home,MTL,42.08333333333333
411,2012,20206,Road,PHI,42.08333333333333
412,2012,20207,Home,NYI,48.916666666666664
413,2012,20207,Road,NJD,48.916666666666664
414,2012,20208,Home,FLA,49.016666666666666
415,2012,20208,Road,TBL,49.016666666666666
416,2012,20209,Home,NSH,50.53333333333333
417,2012,20209,Road,ANA,50.53333333333333
418,2012,20210,Home,PHX,41.666666666666664
419,2012,20210,Road,CBJ,41.666666666666664
420,2012,20211,Home,EDM,49.900000000000006
421,2012,20211,Road,COL,49.900000000000006
422,2012,20212,Home,BUF,45.95
423,2012,20212,Road,PIT,45.95
424,2012,20213,Home,CHI,45.6
425,2012,20213,Road,LAK,45.6
426,2012,20214,Home,WPG,55.35000000000001
427,2012,20214,Road,BOS,55.35000000000001
428,2012,20215,Home,DAL,45.516666666666666
429,2012,20215,Road,CGY,45.516666666666666
430,2012,20216,Home,MIN,49.98333333333334
431,2012,20216,Road,DET,49.98333333333334
432,2012,20217,Home,NYR,43.449999999999996
433,2012,20217,Road,WSH,43.449999999999996
434,2012,20218,Home,VAN,51.63333333333333
435,2012,20218,Road,STL,51.63333333333333
436,2012,20219,Home,NJD,51.46666666666667
437,2012,20219,Road,OTT,51.46666666666667
438,2012,20220,Home,NYI,45.81666666666668
439,2012,20220,Road,PHI,45.81666666666668
440,2012,20221,Home,COL,46.18333333333333
441,2012,20221,Road,NSH,46.18333333333333
442,2012,20222,Home,MTL,45.06666666666666
443,2012,20222,Road,CAR,45.06666666666666
444,2012,20223,Home,FLA,49.5
445,2012,20223,Road,TOR,49.5
446,2012,20224,Home,PHX,57.43333333333333
447,2012,20224,Road,CGY,57.43333333333333
448,2012,20225,Home,ANA,53.75000000000001
449,2012,20225,Road,CBJ,53.75000000000001
450,2012,20226,Home,BUF,51.41666666666667
451,2012,20226,Road,WPG,51.41666666666667
452,2012,20227,Home,NYR,55.26666666666667
453,2012,20227,Road,MTL,55.26666666666667
454,2012,20228,Home,OTT,46.11666666666667
455,2012,20228,Road,NYI,46.11666666666667
456,2012,20229,Home,TBL,42.650000000000006
457,2012,20229,Road,TOR,42.650000000000006
458,2012,20230,Home,STL,45.35
459,2012,20230,Road,SJS,45.35
460,2012,20231,Home,NSH,45.88333333333334
461,2012,20231,Road,DET,45.88333333333334
462,2012,20232,Home,CHI,44.93333333333334
463,2012,20232,Road,VAN,44.93333333333334
464,2012,20233,Home,EDM,52.333333333333336
465,2012,20233,Road,LAK,52.333333333333336
466,2012,20234,Home,PIT,37.866666666666674
467,2012,20234,Road,PHI,37.866666666666674
468,2012,20235,Home,COL,55.80000000000001
